text,label,label_text,bvid,time
那中东国家 没意见了吧,1,neutral,BV1gXPjzdEMg,17.299
蜘蛛侠1呢,1,neutral,BV1MswJzREbd,515.872
参考一岗双责,1,neutral,BV1gXPjzdEMg,81.79
这是伊斯坦布尔的圣索菲亚大教堂吧,1,neutral,BV1gXPjzdEMg,303.358
这句话怎么感觉也......,1,neutral,BV1gXPjzdEMg,289.215
我爸刚弄死他,1,neutral,BV1ih41147Z6,70.305
这不是六个吗,1,neutral,BV1gXPjzdEMg,196.122
好听,2,positive,BV1DVPTzhEfy,388.955
アパツ,1,neutral,BV1tbq3YVErZ,53.421
最高领袖=董事长，总统=CEO,1,neutral,BV1gXPjzdEMg,87.954
自愿被骗,1,neutral,BV1GJ411x7h7,0.64
为什么会膝盖疼，完全不会啊,1,neutral,BV11VA6z2Eaj,66.726
我也记得发过,1,neutral,BV1gXPjzdEMg,46.865
我爸刚弄死他,2,positive,BV1ih41147Z6,64.149
我爸刚弄死他,1,neutral,BV1ih41147Z6,69.473
这是大雨了,1,neutral,BV11VA6z2Eaj,40.333
我爸刚弄死他,1,neutral,BV1ih41147Z6,64.615
马上就只有军政府一个声音了,1,neutral,BV1gXPjzdEMg,157.968
风湿关节炎警告,1,neutral,BV11VA6z2Eaj,5.428
PCL我求你了...,0,negative,BV1GJ411x7h7,8.421
以前的阿富汗富含矿产，别小看啊,1,neutral,BV1gXPjzdEMg,50.519
紧跟时事,1,neutral,BV1gXPjzdEMg,6.364
你     被     骗     了,1,neutral,BV1GJ411x7h7,1.708
破窗效应发挥到了极致,1,neutral,BV1PiQZBvEbV,19.598
不是1/3，只有20%多点,1,neutral,BV1gXPjzdEMg,210.273
115人出来,1,neutral,BV1tbq3YVErZ,162.644
拧巴的体制,1,neutral,BV1gXPjzdEMg,79.86
镜头要发霉了,1,neutral,BV11VA6z2Eaj,8.425
Sudo apt install,1,neutral,BV1tbq3YVErZ,85.555
“世界聚焦于你”,1,neutral,BV1gXPjzdEMg,210.155
舒服了,2,positive,BV1tbq3YVErZ,61.651
PCL,1,neutral,BV1GJ411x7h7,70.042
pcl2《千万别点》来的集合,1,neutral,BV1GJ411x7h7,6.304
怎么都丢了哈哈哈哈哈,2,positive,BV1gXPjzdEMg,51.945
最高领袖=董事长，总统=CEO,1,neutral,BV1gXPjzdEMg,87.954
PCL百宝箱,1,neutral,BV1GJ411x7h7,19.469
對……這叫是 吉娃娃 doge,1,neutral,BV1PiQZBvEbV,425.14
喜欢雨天，下雨才能忘记，所以烦恼,2,positive,BV11VA6z2Eaj,4.331
哈哈哈,2,positive,BV1gXPjzdEMg,40.282
通俗点来说，就是君主制,1,neutral,BV1gXPjzdEMg,86.231
并非危险时候,1,neutral,BV1gXPjzdEMg,185.68
codol复活了,2,positive,BV1GJ411x7h7,3.615
你被骗了,1,neutral,BV1GJ411x7h7,3.822
“世界聚焦于你”,1,neutral,BV1gXPjzdEMg,210.155
美美美,2,positive,BV11VA6z2Eaj,18.091
好看是好看，但是这个不是叫梅雨吗,1,neutral,BV11VA6z2Eaj,23.451
《早期人类驯服肢体珍贵录像》,2,positive,BV1tbq3YVErZ,149.011
鞋子湿了就很难受,1,neutral,BV11VA6z2Eaj,23.008
你们文化包容？？？？,0,negative,BV1gXPjzdEMg,270.892
尼罗河尼罗河,1,neutral,BV1tbq3YVErZ,1.495
下吧下吧我要开花,2,positive,BV11VA6z2Eaj,33.67
他们根本不听,1,neutral,BV1gXPjzdEMg,102.568
最讨厌下雨天出门了！,0,negative,BV11VA6z2Eaj,17.954
没流过血无所畏惧？,1,neutral,BV1gXPjzdEMg,257.743
轻 音 少 女 第 三 季,1,neutral,BV1GJ411x7h7,64.404
好喜欢,2,positive,BV11VA6z2Eaj,37.243
这一段好听,2,positive,BV1tbq3YVErZ,113.146
我报赣南师大,1,neutral,BV1ih41147Z6,25.343
cao,0,negative,BV1GJ411x7h7,7.8
有望破亿,2,positive,BV1GJ411x7h7,14.446
比阿富汗强多了,1,neutral,BV1gXPjzdEMg,255.61
把我卖了能在这买套房子吗？,1,neutral,BV11VA6z2Eaj,11.442
像江南太逆天了,1,neutral,BV1gXPjzdEMg,43.572
我爸刚弄死他,1,neutral,BV1ih41147Z6,0.18
我爸刚弄死他,1,neutral,BV1ih41147Z6,63.705
还没有,1,neutral,BV1rfwXz6Eih,9.628
思想还是传统的好，时间证明,1,neutral,BV1gXPjzdEMg,237.375
君の牛肉,1,neutral,BV1PiQZBvEbV,183.102
老板死了,1,neutral,BV1gXPjzdEMg,90.898
波斯人,1,neutral,BV1gXPjzdEMg,32.076
委内瑞拉？,1,neutral,BV1gXPjzdEMg,267.025
我报赣南师大,1,neutral,BV1ih41147Z6,18.764
阿契美尼德王朝,1,neutral,BV1gXPjzdEMg,26.52
你被骗了(¬､¬),0,negative,BV1GJ411x7h7,2.092
Uzi,1,neutral,BV1ih41147Z6,155.223
APT爆爆爆爆,1,neutral,BV1tbq3YVErZ,66.269
姜子牙，陈亚楠，嫩豆给,1,neutral,BV1tbq3YVErZ,0.0
又是这个bgm啊 这歌真的异域风情拉满,2,positive,BV1rfwXz6Eih,10.307
细节满满,2,positive,BV1Ey4y1874y,171.315
祖宗之法不可变,1,neutral,BV1gXPjzdEMg,134.633
中间的蘸水超好吃,2,positive,BV1PiQZBvEbV,3.031
我爸刚弄死他,1,neutral,BV1ih41147Z6,75.826
《9673.2万》,1,neutral,BV1GJ411x7h7,0.0
我报赣南师大,1,neutral,BV1ih41147Z6,26.979
我爸刚弄死他,1,neutral,BV1ih41147Z6,63.779
巴巴博一,1,neutral,BV1GJ411x7h7,75.342
可谁都不是自己人,1,neutral,BV1gXPjzdEMg,55.239
驴驴驴驴驴,1,neutral,BV1tbq3YVErZ,7.423
有了解过,1,neutral,BV1Ey4y1874y,91.754
《GTA6》主题曲,1,neutral,BV1GJ411x7h7,1.021
《  活  在  裆  下  》,1,neutral,BV1ih41147Z6,113.36
这是伊斯坦布尔的圣索菲亚大教堂吧,1,neutral,BV1gXPjzdEMg,303.358
哈哈哈,2,positive,BV1gXPjzdEMg,40.282
这不是六个吗,1,neutral,BV1gXPjzdEMg,196.122
小李子几杀啦？,1,neutral,BV1MswJzREbd,322.404
《狂野飙车9》,1,neutral,BV1ih41147Z6,123.439
南朝四百八十寺，多少楼台烟雨中？,1,neutral,BV11VA6z2Eaj,40.288
怎么都丢了哈哈哈哈哈,2,positive,BV1gXPjzdEMg,51.945
下雨天待在家里实在太舒服了,2,positive,BV11VA6z2Eaj,29.185
年轻人有想法,2,positive,BV1gXPjzdEMg,231.867
声音和卫庄很像,1,neutral,BV1Ey4y1874y,248.994
我报赣南师大,1,neutral,BV1ih41147Z6,18.882
好疯狂，有点像发疯的那种,1,neutral,BV1tbq3YVErZ,78.416
我报赣南师大,1,neutral,BV1ih41147Z6,2.925
香肠派对达达皮肤在线领,1,neutral,BV1GJ411x7h7,71.46
左边的是圣安地列斯的莱德尔吗,1,neutral,BV1tbq3YVErZ,7.851
爷爷爷爷爷,1,neutral,BV1tbq3YVErZ,110.319
痛车,1,neutral,BV1PiQZBvEbV,21.019
委内瑞拉？,1,neutral,BV1gXPjzdEMg,267.025
信不信这炮我直接一发进洞！,1,neutral,BV1tbq3YVErZ,42.114
我报赣南师大,1,neutral,BV1ih41147Z6,5.997
171人陪我看,1,neutral,BV1tbq3YVErZ,75.993
就这段好听,2,positive,BV1tbq3YVErZ,38.4
好快乐,2,positive,BV1tbq3YVErZ,132.239
地球OL,1,neutral,BV1GJ411x7h7,135.405
这是烟雨？,1,neutral,BV11VA6z2Eaj,14.822
apt,1,neutral,BV1tbq3YVErZ,97.491
石  之  海  P  V,1,neutral,BV1GJ411x7h7,17.715
kksk,1,neutral,BV1tbq3YVErZ,39.444
每日一遍！,2,positive,BV1GJ411x7h7,126.395
我爸刚弄死他,1,neutral,BV1ih41147Z6,0.658
刘在石真搞笑,2,positive,BV1ih41147Z6,99.351
我爸刚弄死他,1,neutral,BV1ih41147Z6,71.953
太有那味了,2,positive,BV1gXPjzdEMg,291.396
ATP,1,neutral,BV1tbq3YVErZ,89.613
小昭,1,neutral,BV1gXPjzdEMg,234.8
你这视频是伊朗人做的吗,1,neutral,BV1gXPjzdEMg,290.629
寒假最后一天的我：,1,neutral,BV1tbq3YVErZ,1.519
纯口水歌，火星哥缺钱了,1,neutral,BV1tbq3YVErZ,90.771
太湿了，底裤都是黏黏的,1,neutral,BV11VA6z2Eaj,25.464
我去什么情况,1,neutral,BV1DT4y1N7Bk,48.019
江南在哪？,1,neutral,BV1gXPjzdEMg,43.326
江南没这么穷,1,neutral,BV1gXPjzdEMg,47.725
江南不是埃及？,1,neutral,BV1gXPjzdEMg,52.495
这也太难了，腹背都不好受,0,negative,BV1gXPjzdEMg,196.602
我爸刚弄死他,1,neutral,BV1ih41147Z6,70.806
我报赣南师大,1,neutral,BV1ih41147Z6,5.321
那就说的过去了,1,neutral,BV1gXPjzdEMg,78.319
阿白痴,0,negative,BV1tbq3YVErZ,71.186
阿婆兹,1,neutral,BV1tbq3YVErZ,152.58
大貔貅 大貔貅,1,neutral,BV1tbq3YVErZ,95.03
圣火已经熄灭,1,neutral,BV1gXPjzdEMg,27.462
杀人了,1,neutral,BV11VA6z2Eaj,78.513
看看战争带给普通人什么,1,neutral,BV1rfwXz6Eih,219.468
董事长不懂事,1,neutral,BV1gXPjzdEMg,145.3
今夕是何年,1,neutral,BV1GJ411x7h7,8.14
比比拉不,1,neutral,BV1GJ411x7h7,73.172
A~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~赛赛里雷,1,neutral,BV1ih41147Z6,178.073
红 色 警 戒 6 发 布,1,neutral,BV1GJ411x7h7,92.09
带着我的眼睛去看世界,2,positive,BV11VA6z2Eaj,37.105
먹봐 吃吧,1,neutral,BV1DT4y1N7Bk,32.298
我爸刚弄死他,1,neutral,BV1ih41147Z6,71.819
入  坑  欢  愉  信  徒  的  第  一  步,2,positive,BV1GJ411x7h7,4.076
波斯人,1,neutral,BV1gXPjzdEMg,32.076
我爸刚弄死他,0,negative,BV1ih41147Z6,63.609
给水涂黑今天发工资,1,neutral,BV11VA6z2Eaj,23.253
我报赣南师大,1,neutral,BV1ih41147Z6,6.894
我爸刚弄死他,1,neutral,BV1ih41147Z6,74.657
罗锅还是要吃活油的,1,neutral,BV1PiQZBvEbV,36.938
embedding,1,neutral,BV1Ey4y1874y,266.903
我都不知道这个是当年怎么放出来的,1,neutral,BV1DT4y1N7Bk,72.126
国家也不富,1,neutral,BV1gXPjzdEMg,293.95
多推,1,neutral,BV11VA6z2Eaj,171.546
我报赣南师大,1,neutral,BV1ih41147Z6,5.969
好啊，是烟雨江南,2,positive,BV11VA6z2Eaj,4.95
好美,2,positive,BV11VA6z2Eaj,8.289
发过一遍了把,1,neutral,BV1gXPjzdEMg,249.106
思想还是传统的好，时间证明,1,neutral,BV1gXPjzdEMg,237.375
最高领袖=实权国王，总统=首相,1,neutral,BV1gXPjzdEMg,84.809
清雨Tpor道歉,0,negative,BV1GJ411x7h7,16.601
apt apt apt apt,1,neutral,BV1tbq3YVErZ,122.696
关注你了，加油，继续发。,2,positive,BV1DVPTzhEfy,195.133
TM的甘,0,negative,BV1MswJzREbd,45.25
人家爱吃就带呗，一直说,0,negative,BV1PiQZBvEbV,233.811
我爸刚弄死他,1,neutral,BV1ih41147Z6,1.738
我爸刚弄死他,1,neutral,BV1ih41147Z6,77.421
美国太坏了,1,neutral,BV1gXPjzdEMg,283.512
我爸刚弄死他,1,neutral,BV1ih41147Z6,8.307
波斯直聘,1,neutral,BV1gXPjzdEMg,21.374
2026了,1,neutral,BV1DT4y1N7Bk,108.729
我报赣南师大,1,neutral,BV1ih41147Z6,6.391
洗脑神曲,2,positive,BV1tbq3YVErZ,25.28
提前祝贺破亿,2,positive,BV1GJ411x7h7,21.685
神棍霍梅尼的人海战术,1,neutral,BV1gXPjzdEMg,172.001
这是真的春水碧于天啊,2,positive,BV11VA6z2Eaj,0.287
宗教忽悠不住年轻人了,1,neutral,BV1gXPjzdEMg,258.687
你是伊朗人？还看哭了,1,neutral,BV1rfwXz6Eih,76.526
怎么可以没有lalaland,1,neutral,BV1MswJzREbd,521.798
你被骗了,1,neutral,BV1GJ411x7h7,10.874
这首歌粤语版的哈～真的毁歌,0,negative,BV11VA6z2Eaj,16.46
和泰国差不多,1,neutral,BV1gXPjzdEMg,98.575
你们文化包容？？？？,0,negative,BV1gXPjzdEMg,270.892
阿森纳夺冠,2,positive,BV1GJ411x7h7,169.16
[ohhh],2,positive,BV1ih41147Z6,16.34
我是爱吃辣,1,neutral,BV1PiQZBvEbV,56.184
2026年还有50多人,1,neutral,BV1GJ411x7h7,48.578
我之前听过。,1,neutral,BV1tbq3YVErZ,120.96
核心出装,1,neutral,BV1GJ411x7h7,44.681
空降至你被骗了00:00,1,neutral,BV1GJ411x7h7,0.0
这跟江南有关系？？？,1,neutral,BV1gXPjzdEMg,50.377
一句话惹怒伊朗人,1,neutral,BV1gXPjzdEMg,12.863
我爸刚弄死他,1,neutral,BV1ih41147Z6,64.556
这么多？,1,neutral,BV1gXPjzdEMg,235.312
紧跟时事。,1,neutral,BV1gXPjzdEMg,11.159
风雨飘落入江流。,1,neutral,BV11VA6z2Eaj,29.571
《我的世界电影完整版》,1,neutral,BV1GJ411x7h7,61.5
真是纯逆天,0,negative,BV1tbq3YVErZ,2.721
泽   塔   剧   场   版,1,neutral,BV1GJ411x7h7,2.001
冬至猫咪的apple baby低这么多的meeting。,1,neutral,BV1tbq3YVErZ,3.411
一个神棍  死了 急死了,1,neutral,BV1gXPjzdEMg,21.302
波斯女孩，看看小昭就知道了,1,neutral,BV1gXPjzdEMg,264.761
伊朗在1935年才改波斯为伊朗,1,neutral,BV1gXPjzdEMg,12.868
衣服都湿哒哒的,1,neutral,BV11VA6z2Eaj,7.941
我报赣南师大,1,neutral,BV1ih41147Z6,9.968
我喜欢下雨，但是讨厌上学时下雨,1,neutral,BV11VA6z2Eaj,37.647
来广东看雨,1,neutral,BV11VA6z2Eaj,26.77
我怎么记得以前看过？,1,neutral,BV1gXPjzdEMg,16.964
是的没错 很烦,0,negative,BV11VA6z2Eaj,7.489
还没有,1,neutral,BV1rfwXz6Eih,8.897
先赞后看不行啊,1,neutral,BV1gXPjzdEMg,3.384
吃他50的,1,neutral,BV1PiQZBvEbV,82.622
Apt,1,neutral,BV1tbq3YVErZ,52.969
那中东国家 没意见了吧,1,neutral,BV1gXPjzdEMg,17.299
《心甘情愿》,1,neutral,BV1GJ411x7h7,6.814
蚊子不会多到爆炸吗,1,neutral,BV11VA6z2Eaj,6.562
江南烟雨,2,positive,BV11VA6z2Eaj,20.58
transformer也是举例说是6个而已,1,neutral,BV1Ey4y1874y,218.542
应该说6个block?,1,neutral,BV1Ey4y1874y,165.716
多推,1,neutral,BV11VA6z2Eaj,3.848
想去钓鱼,2,positive,BV11VA6z2Eaj,23.56
有点熟悉了,1,neutral,BV1gXPjzdEMg,289.958
雨之国是吧,1,neutral,BV1gXPjzdEMg,222.201
我报赣南师大,1,neutral,BV1ih41147Z6,4.395
开头图片：你已急哭,1,neutral,BV1gXPjzdEMg,0.898
iTouch题i让特大V,1,neutral,BV1tbq3YVErZ,11.294
年轻人多就应该去宗教化,1,neutral,BV1gXPjzdEMg,289.789
感觉跟上一段毫无关系,1,neutral,BV1tbq3YVErZ,122.491
白马西风塞上，杏花烟雨江南,1,neutral,BV11VA6z2Eaj,34.46
这个感觉是猪天梯，烫卷了,1,neutral,BV1PiQZBvEbV,148.832
A row I,1,neutral,BV1tbq3YVErZ,143.646
委内瑞拉 第一？,1,neutral,BV1gXPjzdEMg,270.569
哪里江南烟雨好美啊,2,positive,BV11VA6z2Eaj,156.181
他不是没了吗,1,neutral,BV1gXPjzdEMg,105.799
这首爆就是因为两位的化学反应,2,positive,BV1tbq3YVErZ,117.95
自愿被骗,1,neutral,BV1GJ411x7h7,35.486
我报赣南师大,1,neutral,BV1ih41147Z6,6.091
阿塞拜疆人说了算,1,neutral,BV1gXPjzdEMg,21.12
只要外卖还能到就不是问题,1,neutral,BV11VA6z2Eaj,132.026
现在有变化了,1,neutral,BV1gXPjzdEMg,94.277
扔了怎么划？,1,neutral,BV1MswJzREbd,546.723
实际水没这么好看,0,negative,BV11VA6z2Eaj,7.063
即使,1,neutral,BV1tbq3YVErZ,50.29
同感觉看过,1,neutral,BV1gXPjzdEMg,38.609
靠着中东就不可能省心,1,neutral,BV1gXPjzdEMg,157.203
我报赣南师大,1,neutral,BV1ih41147Z6,5.661
现在有变化了,1,neutral,BV1gXPjzdEMg,94.277
注：APT是apartment的缩写,1,neutral,BV1tbq3YVErZ,61.322
截至目前全看过,1,neutral,BV1MswJzREbd,179.144
虚拟歌姬出番剧了,1,neutral,BV1GJ411x7h7,84.885
波斯人,1,neutral,BV1gXPjzdEMg,32.076
波斯美女世界有名,2,positive,BV1gXPjzdEMg,277.678
地理位置，不是经济能力,1,neutral,BV1gXPjzdEMg,67.531
你被骗了,1,neutral,BV1GJ411x7h7,6.754
我报赣南师大,1,neutral,BV1ih41147Z6,4.36
第一次离别好看啊,2,positive,BV1rfwXz6Eih,201.727
多推,2,positive,BV11VA6z2Eaj,9.64
这个位置其实也只是平衡点,1,neutral,BV1gXPjzdEMg,97.437
不玩手机挺好,2,positive,BV1gXPjzdEMg,254.697
我报赣南师大,1,neutral,BV1ih41147Z6,6.372
多推,1,neutral,BV11VA6z2Eaj,16.542
你被骗了,1,neutral,BV1GJ411x7h7,5.891
伊朗菲尔兹奖,1,neutral,BV1gXPjzdEMg,228.158
没有烘干机衣服能发霉,1,neutral,BV11VA6z2Eaj,41.57
以后估计会消失，一直退让！,1,neutral,BV1gXPjzdEMg,30.502
屁也怪制裁，笑死,0,negative,BV1gXPjzdEMg,293.452
匹夫无罪，怀璧其罪,1,neutral,BV1gXPjzdEMg,203.335
这叫年轻？,0,negative,BV1gXPjzdEMg,231.106
愿得一人心,2,positive,BV11VA6z2Eaj,7.798
9700万！,2,positive,BV1GJ411x7h7,2.601
这几句为啥有Lady Gaga那首歌的调调,1,neutral,BV1tbq3YVErZ,80.08
千万别点,0,negative,BV1GJ411x7h7,45.472
两千年前就锁死的宗教,1,neutral,BV1gXPjzdEMg,133.783
波斯美女世界有名,2,positive,BV1gXPjzdEMg,277.678
아파트  아파트,1,neutral,BV1tbq3YVErZ,13.34
伊朗是波斯猫,1,neutral,BV1gXPjzdEMg,10.36
波司登羽绒服,1,neutral,BV1gXPjzdEMg,18.662
自信一点，把可能去掉,1,neutral,BV1PiQZBvEbV,62.565
波斯弯刀,1,neutral,BV1gXPjzdEMg,25.654
火影十周年跑路了,0,negative,BV1GJ411x7h7,193.449
阿富汗：？我？江南？,1,neutral,BV1gXPjzdEMg,48.139
被骗了（PCL-CE）,1,neutral,BV1GJ411x7h7,4.742
怎么都丢了哈哈哈哈哈,2,positive,BV1gXPjzdEMg,51.945
还没有,1,neutral,BV1rfwXz6Eih,8.73
アプト アプト,1,neutral,BV1tbq3YVErZ,8.619
mc内部单文件测试版,1,neutral,BV1GJ411x7h7,16.167
这个舞步好像泰迪熊2里面阿曼达跳的,1,neutral,BV1tbq3YVErZ,150.366
苏州机场开工建设,1,neutral,BV1GJ411x7h7,2.306
江南？,1,neutral,BV1gXPjzdEMg,44.239
你被骗了,0,negative,BV1GJ411x7h7,0.384
发过一遍了把,1,neutral,BV1gXPjzdEMg,249.106
APT Hello,1,neutral,BV1tbq3YVErZ,144.464
离着我们很近,1,neutral,BV1gXPjzdEMg,10.293
只是位置比喻，不是真的江南,1,neutral,BV1gXPjzdEMg,47.468
没流过血无所畏惧？,1,neutral,BV1gXPjzdEMg,257.743
最喜欢这种,2,positive,BV11VA6z2Eaj,45.308
波斯明教,1,neutral,BV1gXPjzdEMg,20.02
我报赣南师大,1,neutral,BV1ih41147Z6,26.206
祖宗之法不可变,1,neutral,BV1gXPjzdEMg,134.633
江南是土耳其,1,neutral,BV1gXPjzdEMg,59.807
通俗点来说，就是君主制,1,neutral,BV1gXPjzdEMg,86.231
这是哪我要去玩,2,positive,BV11VA6z2Eaj,150.955
好看多推,2,positive,BV11VA6z2Eaj,5.682
将军,1,neutral,BV1gXPjzdEMg,101.677
波斯人，可不是阿拉伯国家,1,neutral,BV1gXPjzdEMg,8.554
哈哈怪不的这么穷,0,negative,BV1gXPjzdEMg,92.234
制裁的国家富不了,1,neutral,BV1gXPjzdEMg,293.896
江苏人受不了这个视频的湿气了,0,negative,BV11VA6z2Eaj,39.0
她不记得你了,1,neutral,BV11VA6z2Eaj,116.037
一亿助攻,1,neutral,BV1GJ411x7h7,5.835
我爸刚弄死他,1,neutral,BV1ih41147Z6,72.724
小裹卷,1,neutral,BV1PiQZBvEbV,379.381
紧跟时事,1,neutral,BV1gXPjzdEMg,6.364
已经结束了,1,neutral,BV1gXPjzdEMg,98.594
我报赣南师大,1,neutral,BV1ih41147Z6,12.366
波斯人,1,neutral,BV1gXPjzdEMg,32.076
第一次,1,neutral,BV1DVPTzhEfy,5.661
国家博物馆,1,neutral,BV1GJ411x7h7,0.711
a'p'tapt,1,neutral,BV1tbq3YVErZ,12.729
我报赣南师大,1,neutral,BV1ih41147Z6,25.771
感觉逻辑不对啊,1,neutral,BV1gXPjzdEMg,289.353
《文化雷区》 这是 Ai 才会用到的词，,1,neutral,BV1gXPjzdEMg,65.706
我真不行了吧！！！,0,negative,BV11VA6z2Eaj,86.02
丢丢丢手帕一路丢,1,neutral,BV1gXPjzdEMg,46.612
愿者上钩,1,neutral,BV1GJ411x7h7,6.321
我爸刚弄死他,1,neutral,BV1ih41147Z6,69.483
魔毯在哪能看到,1,neutral,BV1rfwXz6Eih,90.592
[ohh],1,neutral,BV1GJ411x7h7,13.484
君带了一头牛,1,neutral,BV1PiQZBvEbV,162.64
[ohhh],2,positive,BV1GJ411x7h7,56.237
那得多吃点,1,neutral,BV1PiQZBvEbV,69.419
APT！APT！APT！,1,neutral,BV1tbq3YVErZ,0.573
我报赣南师大,1,neutral,BV1ih41147Z6,0.621
我这皮肤到南方梅雨季节得烂,1,neutral,BV11VA6z2Eaj,40.049
我爸刚弄死他(幻听),1,neutral,BV1ih41147Z6,4.69
I’m漫威,1,neutral,BV1tbq3YVErZ,106.387
《文化雷区》 这是 Ai 才会用到的词，,1,neutral,BV1gXPjzdEMg,65.706
河里,1,neutral,BV11VA6z2Eaj,80.9
波斯弯刀,1,neutral,BV1gXPjzdEMg,25.654
希望我的江南style没有影响到你的心情,1,neutral,BV1ih41147Z6,28.329
伊朗在1935年才改波斯为伊朗,1,neutral,BV1gXPjzdEMg,12.868
哈哈哈哈,1,neutral,BV11VA6z2Eaj,80.049
《刻晴大战史莱姆》,1,neutral,BV1GJ411x7h7,11.1
可爱！,2,positive,BV1tbq3YVErZ,97.066
小亮给他整个活,2,positive,BV1GJ411x7h7,144.713
哈哈哈,2,positive,BV1GJ411x7h7,8.681
